,GSM1354764,GSM1354765,GSM1354766,GSM1354767,GSM1354768,GSM1354769,GSM1354770,GSM1354771,GSM1354772,GSM1354773
A1BG,6.478884,6.8927207,6.4978886,6.4745536,7.043223,6.101271,6.5443454,6.237552,6.5517287,6.561019
A4GALT,4.2421856,5.1545396,5.3816853,5.170628,6.0577955,5.3617496,4.6854186,5.169161,5.1467495,4.973249
AAAS,11.44026,11.764819,11.771545,11.913461,12.027841,11.555755,11.571232,11.7499275,11.42123,11.633066
AACSP1,7.695919,8.040582,7.614329,7.589328,7.86361,6.5283103,6.1128297,6.638958,6.4558587,6.5912714
AADACL2-AS1,4.6671147,4.7352595,4.657217,5.222483,2.9963744,4.623774,3.449243,5.0176144,5.299094,4.5965123
AADACL3,5.5137825,6.3157196,5.8323507,5.722854,5.82843,7.05241,5.9448013,6.988126,6.632577,7.0134134
AADACL4,2.4685853,4.1979785,7.3894997,4.144094,4.686092,5.317495,7.134723,5.188707,6.385463,6.41827
AAK1,5.1343875,5.2145433,5.2079034,5.2421575,5.5967345,5.0045767,4.2603545,4.6166525,4.7848716,5.7323327
AANAT,4.796932,4.761709,5.6001353,5.3822217,5.221554,5.1963863,5.1342454,5.5690165,5.101162,4.832099
AAR2,5.1426344,5.3126383,3.9144413,5.086265,4.823028,7.0473056,5.8298492,6.688985,7.1099057,7.2675357
AARS,6.445149,6.8038588,6.75132,6.482259,6.614476,6.5700707,6.3227773,6.4805818,6.5990496,6.645168
AARSD1,3.9062343,2.9313414,4.3435535,3.109196,2.3915348,5.68571,5.0015707,5.053594,6.0615063,6.026306
AATF,4.199793,4.3195705,4.35044,4.6048427,5.54561,4.500663,5.203205,4.3722754,4.7352595,4.7496457
ABAT,6.4143286,6.928413,7.0106196,7.1856475,6.5154066,6.4400005,6.253054,6.7922378,6.0247154,5.522535
ABCA10,6.9088726,6.799458,6.991929,6.6968794,6.6767097,6.5474358,6.1172476,6.549445,6.473258,6.1909146
ABCA17P,7.5565987,8.168871,8.437089,8.310116,8.5256195,7.6114063,7.8609405,8.822544,7.409317,7.2504807
ABCA2,5.84568,5.7922993,5.79807,5.5174475,6.094929,5.383021,6.535959,4.5040946,4.9433813,6.391888
ABCA3,4.743995,6.448835,6.7167683,6.2838116,6.325517,6.9587755,6.8345013,7.057601,7.088492,6.9326477
ABCA4,8.495634,9.024176,9.51694,9.343689,9.070597,9.142237,9.141872,9.206497,9.466412,9.341032
ABCB1,6.056807,6.2376294,5.598263,5.7845335,6.0444956,5.961302,3.7998612,5.9268646,6.0204167,6.2506857
ABCB11,5.081025,5.8788695,5.885627,6.4805818,5.69053,8.525394,8.367355,8.5359125,8.360859,9.433976
ABCB5,9.021818,9.42054,9.605963,9.893798,9.425967,9.062034,9.069927,9.138048,9.427461,9.236638
ABCB7,7.01631,6.688802,6.9684258,6.822974,7.0153656,6.438382,6.1572165,6.5107617,6.289052,6.290964
ABCB9,8.861927,8.740776,8.901213,9.348539,9.393482,8.088557,8.442566,8.249634,7.8462267,7.8684564
ABCC1,5.723089,5.0845256,7.852846,5.0078063,5.210161,4.95159,7.4282827,6.7098985,4.306474,5.7491736
ABCC10,6.05345,6.2873526,5.3980055,6.0686626,6.6934237,4.9324284,3.791076,4.3906817,5.0950813,5.934536
ABCC11,6.103189,6.4594994,6.259005,6.502163,6.3948207,6.285723,5.051496,6.3203154,5.7710032,5.0899324
ABCC12,6.0167055,6.224449,6.3617077,6.287105,6.579822,6.6874285,6.7659354,6.893862,7.0796976,6.8739867
ABCC2,6.860549,7.4275136,6.6513543,7.145217,7.3018193,7.532601,6.6857486,7.498766,7.480116,7.4317713
ABCC3,7.064838,6.636822,7.8721356,7.1471586,6.9816318,7.131953,7.5119677,7.5901165,7.138326,6.803375
ABCC4,5.713176,6.6022224,5.59415,5.101162,4.776162,4.5288672,5.588414,4.2784925,3.6345396,3.2102103
ABCC5,11.319552,11.496331,11.61773,11.798752,11.57348,11.109817,11.135171,11.465383,10.436234,11.592759
ABCC6,5.717615,6.7201858,6.129087,6.1219144,6.005415,6.0757537,5.683358,5.9676003,6.26572,5.8750405
ABCD4,4.7721777,5.8298492,5.4190884,5.9496813,5.3329864,5.8391232,4.836209,5.8094015,5.4199157,5.4014587
ABCF1,7.28267,6.6101127,6.423649,5.825086,6.808137,5.0219426,5.1531415,5.516024,5.5066037,7.680924
ABCF2,4.8424983,5.870881,5.5080013,5.2346106,5.480515,5.1713223,3.8902137,5.153655,5.4394407,4.5566506
ABCF2P1,4.334749,2.9313414,3.527628,3.882243,2.6944945,5.6366525,5.257527,4.389135,5.0938983,5.3742495
ABCF3,6.7374725,6.546,7.134723,6.8303313,6.346489,7.3229356,6.940326,7.1899037,7.374738,7.337436
ABCG1,6.1836815,6.6680336,6.9154034,6.3772616,6.3617077,6.1712427,5.183104,6.341413,6.218795,5.963234
ABCG4,14.0040865,14.392638,14.379437,14.281596,14.783964,15.520739,15.572857,15.3394165,15.041265,15.088434
ABHD1,5.4644413,5.418642,6.023912,6.326566,5.4154534,5.664809,5.712635,6.302372,5.680896,5.1876774
ABHD11,7.548199,7.780321,7.803147,8.178307,7.968061,9.727685,7.380496,7.1448708,6.968726,6.93619
ABHD12,7.4646077,7.3955092,7.2806244,7.2419744,6.9179378,8.453261,8.037189,8.046289,8.3386965,8.280554
ABHD14A,7.711191,7.818939,8.046559,7.7048116,8.285807,7.6024313,8.320194,7.706557,7.6774716,7.8512316
ABHD17AP1,7.9081435,8.076073,7.9421573,8.260463,8.311886,7.728425,8.000184,7.7943144,7.701537,7.8245773
ABHD17AP6,5.340863,4.9359045,5.8451343,6.0908775,4.435836,6.3758345,6.1368704,7.328724,6.173027,6.0370636
ABHD17B,5.7702575,5.7996426,6.3642516,5.820655,5.8061724,5.7080464,5.3414516,5.566141,5.5600286,5.2030725
ABHD2,5.717426,6.327915,6.528892,6.1080456,6.281587,5.9380455,5.5842743,6.356177,6.0306315,5.527462
ABHD4,11.945625,11.771545,11.710121,11.925758,12.190971,11.290891,10.992701,11.496331,10.626363,11.505925
ABHD6,5.3052945,4.8832355,5.5207305,5.3539,4.9531145,4.948856,5.1603827,5.4000955,4.4928865,5.0063386
ABI1,12.894346,12.727292,12.75736,13.241656,12.504107,12.934945,12.840712,12.991037,12.618078,12.365767
ABI2,4.661267,5.6124945,4.665103,5.3702044,3.9017274,9.117651,8.849092,8.969679,9.054294,9.088399
ABI3,4.637961,4.7601795,5.7284884,5.718805,4.90746,5.4552474,4.8006105,5.0847483,5.503939,5.194619
ABI3BP,5.5466146,5.7551947,5.5846133,4.9883785,5.9710126,7.412356,7.046918,7.338317,7.3841205,7.463211
ABL1,11.7810545,11.6229315,11.674086,11.217267,11.50985,12.12926,12.234428,12.033654,12.146315,12.092394
ABLIM1,10.139004,10.342996,9.90951,10.401412,9.759936,10.311211,10.249319,10.17657,10.04967,10.015061
ABLIM2,9.007985,9.079667,9.12539,8.890559,9.249851,8.2790165,8.427452,8.525958,8.266377,8.218734
ABLIM3,4.9967327,4.644965,5.1396112,5.0437264,5.143947,5.3762403,5.746075,5.3226485,5.2350845,6.226774
ABO,6.4755774,7.0367274,6.9952474,6.4082665,6.716104,6.3858795,6.7488427,6.660486,6.374604,6.674245
ABR,6.368521,6.0657005,6.294211,6.9612627,6.6957135,7.345849,7.392786,7.227689,7.607051,7.3378825
ABRACL,6.310018,6.181616,5.8878384,6.0657005,4.617911,6.386689,5.1125054,5.9839473,5.9790473,5.7233267
ABRAXAS2,6.5251513,6.625077,6.7923884,6.2016196,6.637094,6.4684286,5.7193475,6.1240745,6.0817995,5.8291774
ABT1P1,4.0488224,5.2367024,4.618742,4.297062,4.8316994,4.8079624,4.572334,5.20729,5.7557073,5.3419285
ABTB1,7.031292,6.421999,8.34218,5.7724648,6.799847,5.41208,8.14262,4.7946577,4.891758,6.400512
AC000372.1,6.1793423,4.6611147,5.3920135,5.49314,4.510432,4.5478396,5.070248,4.741112,4.218926,4.349148
AC002056.1,4.9976344,5.6755543,5.076644,5.6739073,4.770598,6.9145293,5.829937,6.361991,6.5641637,6.5324917
AC002072.1,4.9563785,5.632604,5.741724,8.128276,5.375076,6.601482,6.7918696,6.4861217,6.6688204,7.2516503
AC002074.1,5.227805,5.429165,5.626658,6.0851865,5.9130344,5.5695515,5.296822,6.001689,5.353994,5.336148
AC002075.1,6.1036744,6.3691425,6.288902,6.5213737,6.3524647,5.8926945,5.539046,6.1043367,5.9472203,6.1245
AC002377.1,7.1238737,7.0257125,7.1973495,7.3268847,6.81102,7.398532,7.3574133,7.1162663,7.1822996,7.2723594
AC002383.1,6.653432,6.8273296,7.08451,7.5172734,7.1556025,7.03907,7.001688,7.24794,6.7728453,6.6494856
AC002401.2,8.58152,8.52654,8.7857485,8.729166,8.328585,7.9202504,7.8389406,8.161947,8.074816,8.124374
AC002429.2,7.4278965,7.600801,7.659521,7.5192075,7.2207093,7.118258,6.884651,6.881787,6.975132,7.092524
AC002454.1,6.6504545,6.4246907,6.186329,6.6084023,6.669612,6.3514466,5.7108407,6.3700533,6.2416463,6.3019905
AC002463.1,5.7592626,6.5428443,6.4684887,6.4605846,5.9227557,6.2634263,5.010335,6.3039846,6.0446625,5.719005
AC002480.2,5.6828375,5.5878267,5.7430916,5.9095917,5.811997,5.4013596,4.7128873,5.3764687,5.6603127,5.583156
AC002511.1,4.12179,5.468276,7.647789,5.1665735,5.52324,5.5668135,4.557329,5.46736,5.0852532,4.598051
AC002511.2,6.0693083,6.34798,6.9330406,6.576815,6.600623,7.825174,7.862825,7.871154,8.451778,8.220036
AC002524.1,6.1546392,5.7790227,5.699174,6.186489,5.332513,6.18253,5.667771,5.8829966,5.9986115,6.1061482
AC003006.1,4.1090536,2.9313414,4.636167,5.1064463,2.7608447,5.3116665,3.9857655,4.9743094,5.818066,5.8678885
AC003035.1,6.508815,6.4440756,6.658985,6.241799,6.9176087,6.1155567,5.9069963,6.2356153,6.4566336,5.791875
AC003102.1,6.385622,6.660486,6.8386126,7.0475097,6.6579933,6.687607,6.1700587,6.7054286,6.1833034,6.5292053
AC003685.2,4.4272957,4.4607997,4.5409036,4.894029,3.7786674,5.5315323,4.602557,5.022549,5.496888,5.5428267
AC003950.1,5.718905,5.953339,6.058609,6.218604,5.7183576,4.956277,5.0084476,5.5119996,5.247256,4.5272565
AC003958.1,6.1896815,6.2156167,7.7918525,6.2228036,5.9697847,8.522341,8.478563,8.813118,8.301243,9.500673
AC003958.2,9.748164,9.749714,9.775288,9.737933,9.464772,9.787022,9.217222,9.488224,9.590099,9.582745
AC003986.1,7.4944386,7.6667786,7.6300817,7.1111417,7.4831243,7.167566,6.036929,6.964787,7.1821094,7.096579
AC003986.3,7.486056,8.006631,7.824029,8.162202,8.122391,7.3499584,7.3435454,7.4515796,7.3469567,7.0467186
AC003989.1,5.460471,5.316209,5.9515686,5.8342495,5.9580913,5.6807766,5.506125,5.659762,5.443504,5.2789555
AC003991.1,7.058854,7.3780837,7.4252496,7.121183,7.542311,7.187263,6.739807,7.348275,7.1922607,7.1606345
AC004009.1,7.0955234,7.17274,7.442251,7.143421,7.441361,6.7928085,6.3648443,6.948203,7.051034,6.5905457
AC004022.1,8.043389,8.178307,8.672401,8.593314,8.341641,7.2893777,7.238789,7.321975,7.426868,6.9493303
AC004069.1,3.9887831,5.706122,4.228526,4.377287,5.7133145,4.739455,5.0046825,3.782297,5.3445735,4.747877
AC004080.2,8.129853,8.970572,8.521532,8.540475,8.883881,8.384197,8.31224,8.338362,8.837746,8.640523
AC004080.5,9.886707,10.227743,10.218139,10.183486,10.396035,9.647207,9.707492,9.775288,10.042255,9.820181
AC004129.1,9.628739,9.576497,9.916491,9.787896,9.21134,10.552065,10.610322,10.600027,10.546742,10.436234
AC004129.2,6.0272374,5.3640037,5.4525023,5.557915,5.820228,5.6356773,5.2821374,5.664528,5.8878384,6.152606
AC004147.2,5.2629848,5.396557,5.757914,5.2986617,5.3328805,5.1556916,5.0752273,5.442913,5.748732,5.0748343
AC004160.1,5.831148,5.836631,5.4590707,5.830474,5.815191,5.2823153,3.8086646,5.225452,5.5288773,4.420768
AC004264.1,6.0852847,6.383243,6.2272897,6.513298,6.92872,5.986924,4.976626,6.2378726,5.659457,5.440401
AC004386.1,9.424885,8.993927,9.36879,9.249141,9.068106,8.076073,8.063902,7.8802447,7.4289703,7.363953
AC004461.1,5.923243,5.7832994,6.0314784,5.706453,5.8524866,5.9860005,6.160935,6.1542974,5.285384,5.3294735
AC004471.2,11.494386,11.871243,11.883136,12.303457,11.702435,11.465383,11.459537,11.879281,10.826434,11.704279
AC004477.1,5.885274,5.8960648,6.232826,6.5664744,6.112968,6.04747,5.326063,6.1705666,5.6467586,5.385534
AC004485.1,11.285225,11.247043,11.382947,11.626456,11.465383,10.991362,10.981938,11.147034,10.788195,11.085445
AC004522.2,5.029013,4.1160097,5.269076,4.812244,5.30159,6.4668646,5.7010818,6.2949605,7.4110174,7.395239
AC004540.1,9.4052515,9.604293,9.045923,8.313722,9.722092,5.0153904,6.7423105,4.3153634,3.9659395,5.6552258
AC004543.1,7.5901165,7.560301,7.9888186,7.4991856,7.690964,7.166089,6.9782825,7.2624855,6.999959,6.796106
AC004585.2,4.6813474,5.561464,5.80842,6.154836,6.3281713,5.418642,4.64466,6.2977486,5.9227557,5.249309
AC004594.1,5.395563,5.077121,5.393341,5.625685,5.552959,5.353279,4.054179,5.59415,4.6595683,4.513987
AC004623.1,5.1919327,5.1782804,5.420446,3.7647195,5.50718,4.442196,4.765561,4.8591433,4.918081,5.546027
AC004672.1,4.6759186,5.1950173,3.6315694,5.9778476,4.927489,4.7129908,4.7495847,5.0674214,4.987502,5.137914
AC004674.1,4.872964,5.8570943,4.36053,4.787614,4.896548,4.6903653,4.091222,4.600159,4.753494,4.9575934
AC004674.2,6.5789995,6.8111725,7.0781264,7.0456357,6.9188323,6.52694,6.603089,6.336648,6.2359695,5.8887224
AC004702.1,7.17831,7.7540793,8.320194,8.095344,7.9503617,7.071006,7.5768757,7.3447433,7.008743,6.558896
AC004771.2,9.169855,9.034751,9.078365,9.315859,9.045103,8.62391,8.462982,8.66327,8.62872,8.792395
AC004797.1,5.379594,5.6161804,5.9988985,5.9910326,6.049623,5.7353144,5.8489256,5.277816,6.4777775,5.823436
AC004817.2,6.337822,6.781893,6.55666,7.204662,6.473835,6.380062,6.112691,6.3110642,6.147417,5.7290697
AC004817.3,6.9531713,7.0134134,7.2606897,7.260906,7.5192075,6.696045,7.316224,6.929555,6.7965975,6.9268036
AC004828.1,11.61285,11.960306,11.7294855,11.907154,11.81085,11.57348,11.423531,11.689048,11.809454,11.674086
AC004830.2,5.0372458,5.318268,4.906106,5.8077426,4.8330126,5.7679324,4.7888923,5.741986,4.9455814,5.697013
AC004840.1,4.5074472,4.449165,5.1006002,4.0071745,5.046629,4.6664605,5.0014315,5.007183,4.8281937,4.842872
AC004846.1,4.4317074,4.8748603,5.5055437,5.5155888,4.6483088,5.0930557,4.0503564,5.639751,5.8816185,4.5110116
AC004847.1,7.965394,7.9389377,8.16113,7.7394347,7.996217,7.3520637,7.3926578,7.37451,7.010437,6.735118
AC004862.1,3.5205257,2.9313414,5.0272107,4.973344,5.9941664,4.8136997,6.0738535,4.5225735,4.6453204,5.091679
AC004865.1,6.190526,7.6009135,6.892658,7.400882,6.989104,6.146171,6.2768626,6.3013678,6.0895805,5.767223
AC004865.2,5.955042,6.1481466,5.8612804,5.9766946,6.6918716,6.7632627,6.3019905,6.645365,7.8506904,7.68505
AC004866.2,6.6912785,5.6660166,6.211259,5.968754,6.0335107,6.679284,6.308396,6.381363,7.669137,7.3680897
AC004882.1,6.3016906,6.631306,6.7029033,6.9320297,7.0135765,7.008018,6.924389,7.083881,7.1113577,7.101166
AC004884.1,7.356391,7.092524,7.521092,7.291039,7.1045957,7.798564,7.6657143,7.6145177,7.709634,8.736226
AC004884.2,6.4584813,6.524679,6.5850406,6.832295,6.991701,6.192606,5.9132004,6.1916275,6.328289,6.247689
AC004888.1,4.8725924,5.840962,6.107952,5.7984924,5.2050376,5.4437323,5.0631156,5.9580913,4.6183543,3.6709502
AC004890.1,8.984659,8.871087,8.685438,8.310552,8.703772,10.683164,10.567,10.619844,10.583965,10.618538
AC004920.1,5.7992606,6.1139913,6.2579374,6.08814,6.0753045,4.7358327,4.023883,5.1197305,4.5128403,4.2655907
AC004941.1,5.966247,6.225755,6.2442737,5.7682867,5.983315,6.5527143,5.966389,6.445808,6.867255,6.9172797
AC004943.2,6.9682345,6.1013446,6.469059,6.008509,6.1013446,8.199343,7.9247828,7.849948,7.9865985,8.161947
AC004986.1,6.096432,5.6238365,6.002806,5.5480742,5.627505,6.1286855,6.2401075,5.992848,6.090183,6.0932775
AC004987.1,5.852362,6.2190976,6.5868287,6.3677254,6.5272675,6.444984,6.2838783,6.3948207,7.915521,6.6969624
AC005005.3,6.489833,6.4976163,6.9075694,6.6589084,7.082739,6.288221,6.811656,6.366945,6.312829,6.435388
AC005014.1,5.4748507,5.694443,5.846224,6.2250156,6.034485,5.847749,5.5561247,6.014423,4.939414,5.6839776
AC005041.5,7.857291,8.186346,7.4371743,7.919746,7.5451393,8.573,8.469787,8.722288,8.759276,8.714579
AC005042.2,7.7233934,7.6991115,7.5084763,7.426868,8.219431,6.940728,6.7154455,6.8531065,6.61672,6.786782
AC005071.1,5.0795946,4.783212,4.2998486,2.431473,4.664794,6.183941,5.2465286,5.900174,6.5137267,6.593408
AC005076.1,8.058938,8.238609,7.1944103,7.4810233,8.165707,4.5296807,2.8156512,4.4437733,3.4731119,4.896238
AC005077.4,8.046559,8.345666,7.907607,8.376273,8.557477,14.589529,13.643514,14.475693,14.670463,14.884095
AC005082.1,3.399727,4.017813,4.1356864,4.114336,2.428719,5.855997,5.8203263,5.7300973,5.9130344,6.66471
AC005083.1,7.9414134,8.418207,8.816347,8.503346,8.506879,8.070263,7.9958887,8.003922,8.175165,8.0566635
AC005091.1,5.9030504,6.1331663,5.9960346,5.635791,5.5302806,5.7133145,5.5280786,5.4716372,5.8828845,6.482973
AC005094.1,9.734417,9.397283,9.560148,9.207353,9.210592,11.498018,11.642734,11.610937,11.475132,11.469546
AC005102.1,3.3483229,2.9313414,4.186033,3.7251043,4.0080547,5.2963657,5.2657037,5.0347548,5.6280704,5.7882366
AC005165.1,5.299094,5.0671644,5.388094,5.1106243,5.468492,4.408369,4.2174935,4.131987,4.8786635,4.3752728
AC005224.1,4.1146097,4.6453204,4.58242,4.3580313,4.463251,4.5815606,5.4419765,4.518483,5.7563033,4.779278
AC005229.2,6.6241026,6.440455,6.6720777,6.3477955,5.969177,6.1643834,5.681589,5.406475,5.629081,5.378013
AC005229.4,3.8944783,4.6457386,3.96449,3.6858757,4.767192,5.340753,4.115239,5.1108317,5.842873,5.684482
AC005237.1,7.94381,8.570927,8.309041,8.429581,8.364362,7.690038,8.091803,7.5639515,7.442075,7.3124204
AC005261.1,5.563593,2.9313414,4.5393524,4.138394,4.9018493,5.469907,3.5348086,4.6850543,5.096961,4.0659714
AC005261.2,4.256411,2.9313414,3.3091638,3.9885771,4.664826,4.893889,3.7002578,4.8501368,5.2113743,5.8917966
AC005297.2,7.2606897,7.2475786,6.950944,7.204959,7.024199,6.7965975,6.608781,6.978102,6.8684893,6.840706
AC005297.3,7.1516814,7.2497015,7.0073395,7.220086,6.8741093,7.2615423,6.976413,7.0720057,7.3067102,7.100914
AC005324.2,6.3157196,5.8543015,5.9194646,5.6676784,5.248701,5.5129232,5.395839,5.6783137,5.385823,4.998984
AC005326.1,2.6992366,2.9313414,3.3070102,5.8571997,3.7234685,5.146836,3.5078185,3.910474,4.2864017,4.7559648
AC005332.4,4.1695337,2.9313414,2.5541546,4.06943,2.9264486,4.9283676,3.4469068,5.039247,5.0152164,4.815193
AC005336.2,5.3595805,5.671262,5.6982512,5.6961107,5.8421264,6.3776903,6.334343,6.108218,6.451071,6.3115025
AC005342.2,4.851202,2.9313414,3.6824384,3.5953627,2.8474896,4.682686,4.9137206,4.35426,4.7970905,5.897011
AC005400.1,6.6263614,7.074673,7.5723147,7.234226,7.149882,6.9506245,7.2267714,7.2846074,6.3492436,6.483197
AC005410.1,6.0305457,5.4884105,6.3511076,5.5676565,5.2428102,6.182731,6.751592,5.6702795,6.266528,6.2109103
AC005481.1,5.219099,5.0641785,5.432025,5.465328,5.453571,5.4554725,5.620667,5.3557134,5.2708735,5.3026567
AC005578.1,8.23967,8.502895,9.122125,8.775178,8.64749,7.8041444,8.045527,8.025467,7.8276057,7.6009135
AC005593.1,4.7525682,2.9313414,5.2612557,4.21446,4.7203245,4.4475985,3.3864307,4.6295533,4.828319,4.983218
AC005703.3,4.8923903,5.549984,5.1385884,4.5631404,5.22389,5.78786,5.664351,5.71539,5.9319816,5.6793194
AC005736.1,5.676549,5.712171,6.856394,5.1695023,5.39622,5.4434485,4.7269,5.0825057,5.2353077,5.044606
AC005740.2,3.7708359,4.192728,5.1425686,4.563509,4.8524995,6.528464,6.0087442,5.32017,7.177039,6.3941483
AC005740.5,5.98485,7.04451,6.389414,6.840858,5.3601413,7.0073395,6.164185,6.2607327,6.3423657,6.2392206
AC005746.2,2.4380038,4.577666,4.365232,4.5456996,4.1528773,4.724029,5.3417006,4.4619355,4.965007,5.093726
AC005786.3,7.5594344,6.7297893,6.7331123,7.166326,6.5229726,5.831842,6.3068476,6.809209,5.2840056,5.779793
AC005808.1,5.688501,5.619994,6.055751,6.25475,5.668803,5.380633,5.206599,5.6176777,5.4846463,5.348741
AC005821.1,4.828648,5.4520493,5.1510205,4.4144073,5.985882,5.019386,3.1786203,4.8559933,5.447774,4.259092
AC005823.1,11.000269,10.96031,10.901293,10.645479,11.1680155,10.73202,10.758806,10.715141,11.973044,11.252371
AC005829.1,5.4636803,4.86163,5.795721,5.5912547,5.847892,5.316209,4.502387,5.362365,5.458411,5.2330084
AC005899.8,4.695473,5.2272916,5.435637,5.432915,5.582531,5.5574236,5.3130903,5.8712997,5.5931544,5.5470114
AC006001.3,5.5157633,5.2109833,6.118432,5.6644497,6.119563,6.187404,5.900535,6.2365303,6.299695,6.1007104
AC006004.1,5.723954,6.3569183,5.867558,6.323366,6.0988936,6.852397,6.838767,6.535959,7.019556,7.102282
AC006015.1,4.7590046,5.3421426,5.5137014,6.101271,5.6756577,5.576752,5.275427,5.8176656,5.68571,4.8120036
AC006019.3,5.9997272,4.217553,4.5816927,5.224542,5.792954,4.605635,4.4657235,4.771233,3.777276,4.5378804
AC006026.3,5.676937,5.365229,5.245465,4.7778873,5.344123,4.9614673,4.9310794,5.162673,4.1115623,5.091183
AC006033.1,5.9258056,6.0641484,5.952693,5.9702873,5.766184,6.632577,6.0472083,6.3019905,7.1384354,6.593747
AC006058.1,6.0606713,6.412679,5.9116096,5.626709,5.661503,5.722163,4.655287,4.9390144,5.558072,4.494878
AC006115.2,5.0868745,13.406764,5.8278947,6.032037,6.327279,6.110943,5.7571945,6.070658,6.002187,5.444804
AC006116.8,7.3207517,7.2012672,7.018805,7.244865,7.203304,6.4566336,6.055153,6.9597826,6.5502243,6.157917
AC006128.1,5.875322,5.331202,5.3494706,5.7113395,5.4905286,5.4420853,6.9268036,5.6606884,5.5270066,5.359915
AC006213.1,6.098278,6.7726755,7.3058176,7.1649227,6.654191,6.692267,6.574772,6.7847,6.56558,6.2873526
AC006252.1,6.540203,7.1680374,6.4322195,6.1131787,6.3033476,6.2386265,6.231197,6.181861,6.616084,6.5065618
AC006288.1,5.541397,6.0966196,5.728701,5.255056,5.06215,6.3118734,5.5713496,6.342065,5.7274494,5.5680723
AC006333.2,4.4960237,5.1258135,4.615154,5.4616838,4.513705,4.32242,3.5979612,4.933573,5.043164,5.2893715
AC006369.1,7.481233,7.248463,7.3491096,7.303868,7.598584,6.7680283,6.562331,6.8220396,7.1899037,6.8102055
AC006427.1,5.2147503,5.757074,5.8200817,5.362365,6.562187,5.1804304,4.8259244,4.7841105,5.4981394,5.4796968
AC006450.3,8.10399,7.6745453,7.487014,7.383021,8.201376,6.852524,6.9612627,6.964323,6.9722767,7.6765757
AC006455.5,6.2331448,6.7598248,6.596289,6.6265845,6.023836,6.0447702,5.8838363,6.0167055,5.691172,5.8458285
AC006484.1,5.5561247,6.0810905,5.773675,6.454611,5.8462896,9.045103,5.0218754,5.823308,5.472905,5.0464387
AC006557.1,6.819446,6.8285236,7.2012672,6.8688297,7.011018,6.375709,6.1507053,6.4994655,6.268391,5.983315
AC006581.2,8.376725,8.609672,7.769314,7.9585886,8.568526,6.9879217,7.254217,7.049215,7.050349,7.462473
AC006967.2,4.1338854,2.9313414,4.0487084,4.750494,2.8070805,6.326083,5.418734,5.852362,5.7608376,6.5659914
AC006970.2,6.0430913,4.3907948,5.308149,4.8010902,5.111462,6.070776,5.522176,5.849026,6.3415637,6.2534914
AC006978.2,5.481922,5.5234823,5.299094,4.6400857,4.7323966,5.6966286,4.5007877,5.5511646,5.9674983,5.8914347
AC006994.2,6.0825877,6.0680714,5.9341273,5.8171463,6.1665936,5.609091,5.540107,5.7643347,5.6282945,5.7380667
AC007009.1,5.8848763,6.120969,6.0814815,6.3281713,5.884504,2.8651671,5.954077,3.0589924,4.420837,5.9992657
AC007038.1,7.0015316,6.7110953,6.7873507,6.670728,7.065977,5.8606963,6.388462,6.3852606,6.146171,5.769666
AC007040.1,7.9715242,7.549318,7.069949,6.7644286,7.1215596,8.620557,8.274071,8.23709,8.027058,8.605102
AC007041.1,5.303298,4.567827,4.6936274,4.844677,4.61117,5.7290697,5.3754334,5.426014,5.7914724,5.524127
AC007092.1,4.9568763,5.061736,5.797799,4.2602577,6.258943,5.1548243,4.8951426,4.562397,5.3808,4.5768
AC007098.1,13.075637,12.995572,13.0837345,13.179207,13.17183,12.338955,12.375728,12.469307,11.389362,12.504107
AC007099.1,5.9960346,6.16576,6.316298,6.1623464,6.0770745,5.481814,5.9778476,5.5728774,5.6796656,5.7669373
AC007106.1,5.731911,6.1679883,6.1930065,5.9308376,6.31619,5.882452,5.3410654,5.6783843,5.524722,5.1301694
AC007159.1,5.5564604,5.7264075,5.6222944,5.059446,5.498497,4.977482,4.516054,5.0833807,4.8929152,3.848957
AC007163.1,5.9995384,6.3923845,6.3446593,6.7217693,6.1135964,7.0572114,6.807577,7.4219646,7.0006866,7.141803
AC007207.1,10.534762,10.684429,10.3942795,10.839172,11.035897,10.627915,10.523908,10.76008,9.977048,11.147034
AC007221.1,6.622501,6.554073,6.5733385,6.5114746,7.3052306,5.9317384,6.3633823,6.007949,6.2101703,6.3355045
AC007283.1,5.1475277,3.8731728,4.6007347,3.4919558,4.6054177,5.9872847,5.2346106,6.0364347,6.1971583,5.887084
AC007285.1,6.3068476,6.503591,6.5100694,6.142336,6.1701145,6.030481,6.147649,5.868805,5.742809,6.197224
AC007362.1,5.8349514,6.6864953,6.8795414,7.062296,6.6863546,6.9533086,6.6694517,7.205644,6.6575894,6.6950264
AC007384.1,7.273907,7.4579377,7.238266,7.4808145,7.2736673,7.2122893,7.043223,7.2267714,7.1032352,7.242592
AC007387.3,9.72543,9.8609915,9.822003,9.7592535,9.803963,11.377449,11.408424,11.398226,11.319552,11.270884
AC007389.1,8.129286,8.268047,8.352991,8.385838,8.420691,7.5594344,7.8401985,7.7716446,7.4452653,7.5145082
AC007389.4,5.4164295,5.5515513,5.7652497,5.8390207,5.6263285,5.860461,4.772705,5.9281535,6.045417,5.5048923
AC007402.1,4.505775,4.8439264,5.4002705,5.027994,5.003873,5.0455394,5.1979976,5.9009476,5.4827905,5.3551393
AC007403.1,5.9925494,6.281519,6.351849,5.8924017,5.995099,5.6079245,4.7800713,5.633674,5.6449924,4.8424983
